Site_name or object code,C14Age,C14SD,Lab_code,Lon,Lat,Location quality,Material_Dated,APA_reference,Ref_complete,Archaeological_context,Technology
Entierro 1 CV,1570,60,Beta-70370,-75.78,5.83,Reported,,"Otero de Santos, H. (1992). Dos periodos de la historia prehispanica de Jerico (Departamento de Antioquia). Boletin de Arqueologia, 7(2), 5-66. Fundacion de Investigaciones Arqueologicas Nacionales. https://publicaciones.banrepcultural.org/index.php/fian/article/view/5435",yes,,
Esperanza,3960,100,Beta-83658,-78.65,1.68,Reported,,"Patiño Castano, D. (2003). Tumaco prehispanico: asentamiento subsistencia e intercambio en la Costa Pacifica de Colombia. Universidad del Cauca.",yes,,
Estación La Granjita. GR01,920,30,Beta-408669,-75.51,8.45,Reported,,"Fajardo, S. (2015). Monitoreo arqueologico en la zona de influencia de las nuevas estaciones Paez (Paez Boyaca), Chiquillo (Remedios Antioquia) y la Granjita (Pueblo Nuevo Cordoba) del proyecto P-135 de Ocensa.: Informe final.",yes,,
Estación La Granjita. GR01,880,30,Beta-408670,-75.51,8.45,Reported,,"Fajardo, S. (2015). Monitoreo arqueologico en la zona de influencia de las nuevas estaciones Paez (Paez Boyaca), Chiquillo (Remedios Antioquia) y la Granjita (Pueblo Nuevo Cordoba) del proyecto P-135 de Ocensa.: Informe final.",yes,,
Estación La Granjita. GR03,910,30,Beta-408671,-75.51,8.45,Reported,,"Fajardo, S. (2015). Monitoreo arqueologico en la zona de influencia de las nuevas estaciones Paez (Paez Boyaca), Chiquillo (Remedios Antioquia) y la Granjita (Pueblo Nuevo Cordoba) del proyecto P-135 de Ocensa.: Informe final.",yes,,
Estadio Deportivo Cali,1730,40,Beta-17334,-76.42,3.52,Reported,Charcoal,"Blanco, S., & Gonzalez, M. L. (2003). Un caso de ingenieria hidraulica prehispanica en el sur del valle geografico del rio Cauca estadio del Deportivo Cali-Palmira. Cespedesia 5(80): 97-134.",yes,,
Estructura Vertical 1 / Estructura 19,570,70,Beta-269638,-75.61,6.24,Reported,Charcoal,"Aristizabal Espinosa, P., & Lopez Bonilla, L. G. (2009). Estudios y disenos para la construccion de la via longitudinal occidental entre Belen Rincon (Carrera 79 con calle 1 sur) y la quebrada Ana Diaz (Carrera 88 con calle 35) en el barrio La Almeri­a: plan de manejo arqueologico.",yes,,
Excavación,1580,70,Beta-52401,-75.82,3.27,Reported,,"Rodriguez Ramirez, C. (1992). Patrones de asentamiento de los agricultores prehispanicos de la cuenca el alto rio Saldana. (Poblaciones de Herrera y Planadas): informe final.  Banco de la Republica.",yes,,
Fca El topacio,2670,100,Beta-14809,,,,Charcoal,"Cardale de Schrimpff, M., Bray, W., & Herrera, L. (1989). Reconstruyendo el pasado en Calima. Resultados recientes. Boletin del Museo del Oro, (24), 3-33. https://publicaciones.banrepcultural.org/index.php/bmo/article/view/7121",yes,,
FE 2001 Llanitos de Guarala,3060,50,GX-27605,,,,,"Rojas, S., Romano, F., Quintero, N., Montejo, F. (2001). Estudios arqueologicos en Nueva Ciudad Milagro (Armenia). Llanitos de Guarala (Calarca), Ciudadela Compartir (Montenegro) y Ciudadela El Sueño (Quimbaya), departamento del Quindio. En V. Gonzalez F., & C. A. Barragan (Eds.), Arqueologia Preventiva en el Eje Cafetero: Reconocimiento y rescate arqueologico en los municipios jurisdiccion del Fondo para la Reconstruccion del Eje Cafetero - FOREC (pp. 141-172). Instituto Colombiano de Antropologia e Historia.",yes,,
FE 2001 Llanitos de Guarala,3250,100,GX-27606,,,,,"Rojas, S., Romano, F., Quintero, N., Montejo, F. (2001). Estudios arqueologicos en Nueva Ciudad Milagro (Armenia). Llanitos de Guarala (Calarca), Ciudadela Compartir (Montenegro) y Ciudadela El Sueño (Quimbaya), departamento del Quindio. En V. Gonzalez F., & C. A. Barragan (Eds.), Arqueologia Preventiva en el Eje Cafetero: Reconocimiento y rescate arqueologico en los municipios jurisdiccion del Fondo para la Reconstruccion del Eje Cafetero - FOREC (pp. 141-172). Instituto Colombiano de Antropologia e Historia.",yes,,
La Palma,1530,60,Beta-108042,,,,,Martinez Helena 1999,no,,
La Palma,1010,50,Beta-111755,,,,,Martinez Helena 1999,no,,
Finca Cálamo,1430,370,Beta-25156,-76.07,1.87,Reported,,"Llanos Vargas, H. (1990). Proceso historico prehispanico de San Agustin en Valle de Laboyos (Pitalito-Huila). Banco de la Republica.",yes,,
Finca Cálamo,2200,120,Beta-25157,-76.07,1.87,Reported,,"Llanos Vargas, H. (1990). Proceso historico prehispanico de San Agusti­n en el Valle de Laboyos (Pitalito-Huila). Fundacion de Investigaciones Arqueologicas Nacionales. Banco de la Republica.",yes,,
Bahia Chengue,640,11,UCI AMS-22821,-74.132284,11.316145,Estimated,,"Dever, A. (2007). Social and economic development of a specialized community in Chengue Parque Tairona Colombia. [Tesis doctoral, University of Pittsburgh]. http://d-scholarship.pitt.edu/id/eprint/8960",yes,,
Finca Dios Mio,1600,40,Beta-108845,-73.974827,9.005718,Estimated,,"Plazas, C. (1998). Cronologia de la metalurgia colombiana. Boletin Museo del Oro, (44-45), 3-77. https://publicaciones.banrepcultural.org/index.php/bmo/article/view/6894",yes,,
Bahia Chengue,555,11,UCI AMS-22823,-74.132284,11.316145,Estimated,,"Dever, A. (2007). Social and economic development of a specialized community in Chengue Parque Tairona Colombia. [Tesis doctoral, University of Pittsburgh]. http://d-scholarship.pitt.edu/id/eprint/8960",yes,,
Finca el Saladito Yacimiento 44,2280,60,Beta-102886,-75.67455593,5.202491013,Estimated,Charcoal,"Moreno, M. C. (1997). Proyecto arqueologico San Carlos-San Marcos. Linea de Transmision de 500 KV. Informe Final. Tomos 1, 2. Interconexion Electrica. ISA-Centro de Museos. Universidad de Caldas.",yes,,
Alto de Lavapatas,2630,,A-2,-76.3,1.89,Reported,,"Duque Gomez, L., & Cubillos, J. C. (1988) Arqueologia de San Agustin: Alto de Lavapatas. Fundacion de Investigaciones Arqueologicas Nacionales. Banco de la Republica.",yes,,
Finca Oreganal Loc-4,520,40,Beta-144494,-72.76,10.98,Reported,,"Socarras, J. L. (2003). Las plantas en la subsistencia de los antiguos habitantes del Medio Rancheria sur de La Guajira (Colombia).  Boletin de Arqueologia 18, 53-97. Fundacion de Investigaciones Arqueologicas Nacionales.",yes,,
Finca Oreganal Loc-4,980,70,Beta-146378,-72.76,10.98,Reported,,"Socarras, J. L. (2003). Las plantas en la subsistencia de los antiguos habitantes del Medio Rancheria sur de La Guajira (Colombia).  Boletin de Arqueologia 18, 53-97. Fundacion de Investigaciones Arqueologicas Nacionales.",yes,,
Finca Portacelli Loc-2,1950,70,Beta-14584,-72.81,10.94,Reported,,"Socarras, J. L. (2003). Las plantas en la subsistencia de los antiguos habitantes del Medio Rancheria sur de La Guajira (Colombia).  Boletin de Arqueologia 18, 53-97. Fundacion de Investigaciones Arqueologicas Nacionales.",yes,,
Finca Velez,715,45,HV-7338,,,,Wood,"Von Schuler-Schomig, I. (1981). A grave-lot of the Sonso period. ProCalima. Archäologisch ethnologisches Projekt im estlichen Kolumbien/ Südamerika, 2: 25-27. Periodische Publikation der Vereinigung Pro Calima.",yes,,
Floreña 1 – Corte 3,5300,40,Beta-280407,-72.41,5.49,Reported,,"Roncancio Guzman, G., & Perez Diaz, J. F. (2011). Rescate y monitoreo arqueologico en la Locacion Florena T. Municipio de Yopal Corregimiento del Morro veredas Planadas y el Aracal - Departamento del Casanare. GeoIngenieria Bogota.",yes,,
Floreña 4 – Corte 4,2910,40,Beta-280409,-72.41,5.49,Reported,,"Roncancio Guzman, G., & Perez Diaz, J. F. (2011). Rescate y monitoreo arqueologico en la Locacion Florena T. Municipio de Yopal Corregimiento del Morro veredas Planadas y el Aracal - Departamento del Casanare. GeoIngenieria Bogota.",yes,,
Floreña 4 – Corte 4,520,40,Beta-280408,-72.41,5.49,Reported,,"Roncancio Guzman, G., & Perez Diaz, J. F. (2011). Rescate y monitoreo arqueologico en la locacion Florena T. Municipio de Yopal Corregimiento del Morro veredas Planadas y el Aracal - Departamento del Casanare. GeoIngenieria Bogota.",yes,,
Frasquillo,960,90,Beta-16168,-76.25,7.95,Reported,Charcoal,"Botiva Contreras, A. (1987). El alto Sinu: 17 siglos de asentamiento ribereno. Corelca. Instituto colombiano de Antropologia",yes,,
Frasquillo,1570,100,Beta-5948,-76.25,7.95,Reported,Charcoal,"Botiva Contreras, A. (1987). El alto Sinu: 17 siglos de asentamiento ribereno. Corelca. Instituto Colombiano de Antropologia.",yes,,
Frontera (B-204),790,80,Beta-13949,,,,Charcoal,"Cardoso, P. (1986). Aproximacion arqueologica al conocimiento de las casas de un asentamiento Tayrona: Frontera. [Unpublished undergraduate thesis, Universidad de Los Andes].",yes,,
Chiribiquete Cueva del Valle de las Piramides,1550,70,GrN-19574,-72.766833,1.143895,Estimated,Organic material,"Castaño-Uribe, C., & van der Hammen, T. (2006). Arqueologia de visiones y alucinaciones del cosmos felino y chamanistico de Chiribiquete. Parques Nacionales Naturales de Colombia.",yes,,
Bombona,825,,GX-G-19705,,,,Charcoal,"Fernandez Medina, E. (1994). Distribucion espacial y temporal de la ceramica en el area Quillacinga. [Tesis de pregrado no publicada, Universidad de los Andes].",yes,,
Galindez,140,60,Beta-6235,-77.15457224,1.942989907,Estimated,Charcoal,"Patiño, D., & Gnecco, C. (1992). Ocupacion prehispanica del Alto Patia.  Revista Novedades Colombianas (5): 72-91.",yes,,
Chiribiquete Cueva del Valle de las Piramides,1615,30,GrN-19575,-72.766833,1.143895,Estimated,Organic material,"Castaño-Uribe, C., & van der Hammen, T. (2006). Arqueologia de visiones y alucinaciones del cosmos felino y chamanistico de Chiribiquete. Parques Nacionales Naturales de Colombia.",yes,,
Chiribiquete Abrigo de los Lagos,150,15,GrN-19702,-72.766833,1.143895,Estimated,Charcoal,"Castaño-Uribe, C., & van der Hammen, T. (2006). Arqueologia de visiones y alucinaciones del cosmos felino y chamanistico de Chiribiquete. Parques Nacionales Naturales de Colombia.",yes,,
Garañon (Q28),530,30,Beta-322030,,,,Charcoal,"Rodriguez Cuenca, J. V., Ariza O., A., Cabal M., & Caldon A, Ferney. (2016). Vida y muerte en el sur del alto Magdalena, Huila. Bioarqueologia y cambio social. Emgesa & Universidad Nacional de Colombia.",yes,,
Genova 1,9230,40,Beta-355217,-75.782196,4.163667,Reported,Charcoal,"Restrepo, C. A. (2013). Informe de Monitoreo arqueologico en el area de influencia del proyecto de desarrollo vial Armenia-Pereira-Manizalez, Autopista de Cafe. Instituto Nacional de Vias. Autopistas de Cafe S. A.",yes,,
Genova Sitio 19,3260,100,Beta-146617,,,,,"Rojas Mora, S., & Tabares, D. (2000). Proyecto de desarrollo vialdoble calzada Armenia-Pereira-Manizales Autopista del Cafe: consideraciones preliminares para la interpretacion de una historia que empieza a recrearse.",yes,,
Genova Sitio 20,2260,60,Beta-146615,,,,,"Rojas Mora, S., & Tabares, D. (2000). Proyecto de desarrollo vialdoble calzada Armenia-Pereira-Manizales Autopista del Cafe: consideraciones preliminares para la interpretacion de una historia que empieza a recrearse.",yes,,
Genova Sitio 20,3250,70,Beta-146614,,,,,"Rojas Mora, S., & Tabares, D. (2000). Proyecto de desarrollo vialdoble calzada Armenia-Pereira-Manizales Autopista del Cafe: consideraciones preliminares para la interpretacion de una historia que empieza a recrearse.",yes,,
Genova Sitio 25,3280,40,Beta-146616,,,,,"Rojas Mora, S., & Tabares, D. (2000). Proyecto de desarrollo vialdoble calzada Armenia-Pereira-Manizales Autopista del Cafe: consideraciones preliminares para la interpretacion de una historia que empieza a recrearse.",yes,,
Guabas,1810,170,Beta-5925,,,,Charcoal,"Rodriguez, C. A. (1985). Archaeological excavations in a prehispanic cemetery in Guabas Cauca Valley Colombia. Pro Calima 4: 49-52.",yes,,
Guacanas,1960,30,Beta-322032,,,,Maize,"Rodriguez Cuenca, J. V., Ariza O., A., Cabal M., & Caldon A, Ferney. (2016). Vida y muerte en el sur del alto Magdalena, Huila. Bioarqueologia y cambio social. Emgesa & Universidad Nacional de Colombia.",yes,,
Guacanda,2960,60,Beta-144241,-76.49,3.6,Reported,Charcoal,"Rodriguez Ruiz, C. A., Rodriguez, E. L. & Romero, W. M. (2001). Patrones funerarios prehispanicos en Yumbo departamento del Valle del Cauca. Instituto Municipal de Cultura.",yes,,
Chiribiquete Abrigo de la Selva,880,50,GrN-19703,-72.766833,1.143895,Estimated,Charcoal,"Castaño-Uribe, C., & van der Hammen, T. (2006). Arqueologia de visiones y alucinaciones del cosmos felino y chamanistico de Chiribiquete. Parques Nacionales Naturales de Colombia.",yes,,
Chiribiquete Abrigo de la Selva,1190,20,GrN-19704,-72.766833,1.143895,Estimated,Charcoal,"Castaño-Uribe, C., & van der Hammen, T. (2006). Arqueologia de visiones y alucinaciones del cosmos felino y chamanistico de Chiribiquete. Parques Nacionales Naturales de Colombia.",yes,,
Guaduero,1470,294,Alpha-565,-74.58,5.19,Reported,,"De Hernandez, C., & Caceres de Fulleda, C. A. (1989). Excavaciones arqueologicas en Guaduero-Cundinamarca. Fundacion de Investigacioens Arqueologicas Nacionales. Banco de la Republica.",yes,,
Guaduero,2180,90,Beta-5944,-74.58,5.19,Reported,,"Hernandez, C. (1989). Excavaciones arqueologicas en Guaduero Cundinamarca. Fundacion de Investigaciones Arqueologicas Nacionales. Banco de la Republica.",yes,,
Guaimaral,3050,40,GX-30239,-74.07,4.82,Reported,Soil sample (humic acid),"Boada Rivas, A. M. (2018).  Control sobre tierras, sistemas de camellones, canales y mano de obra durante el periodo prehispanico en la Sabana de Bogota. Latin American Antiquity, 29(4), 660–680. doi:10.1017/laq.2018.44",yes,Strata associated to maiz polen,Raised-fields
Guaimaral,1370,40,GX-30238,-74.07,4.82,Reported,,"Boada Rivas, A. (2001) Excavaciones en sistemas de camellones y canales en la Sabana de Bogota. ICANH.",yes,,
Guajaro,670,90,Beta-13346,-75.245447,10.284553,Reported,,"Angulo Valdes, C. (1988). Guajaro en la arqueologia del norte de Colombia. Fundacion de Investigaciones Arqueologicas Nacionales. Banco de la Republica.",yes,,
Guapota,630,70,IVIC-559,,,,Charcoal,"Sutherland, D. (1972). Preliminary investigations into the prehistory of Santander, Colombia. [Doctoral thesis, Tulane University].",yes,,
Guaquiri,440,60,Beta-2898,,,,Charcoal,"Reines, L. (1979). Una contribucion a la arqueologia del Bajo Magdalena. Excavaciones en Guaiquiri. Fundacion de investigaciones Arqueologicas Nacionales. Banco de la Republica.",yes,,
Chiribiquete Abrigo del Arco,1375,40,GrN-19706,-72.766833,1.143895,Estimated,Charcoal,"Castaño-Uribe, C., & van der Hammen, T. (2006). Arqueologia de visiones y alucinaciones del cosmos felino y chamanistico de Chiribiquete. Parques Nacionales Naturales de Colombia.",yes,,
Guayabal,486,110,Beta-10765,-77.04,2.01,Reported,,"Patiño, D., & Gnecco, C. (1992). Ocupacion prehispanica del Alto Patia.  Revista Novedades Colombianas (5): 72-91.",yes,,
Guayabal,870,60,Beta-10766,-77.04,2.01,Reported,,"Patiño, D., & Gnecco, C. (1992). Ocupacion prehispanica del Alto Patia.  Revista Novedades Colombianas (5): 72-91.",yes,,
Corte Monticulo,1460,,A-13,,,,,"Girón, J. (1984). Arqueología de Buriticá. Un Asentamiento Minero prehispánico. BA thesis. Departamento de Antropología. Universidad de Antioquia. Medellín.",yes,,
Abrigo del Arco II,5560,70,GrN-19707,-72.7410162,0.7435316,Reported,Charcoal,"Castaño-Uribe, C., & van der Hammen, T. (2006). Arqueologia de visiones y alucinaciones del cosmos felino y chamanistico de Chiribiquete. Parques Nacionales Naturales de Colombia.",yes,,
Chiribiquete Abrigo del Arco,22000,730,GrN-19709,-72.766833,1.143895,Estimated,Charcoal,"Castaño-Uribe, C., & van der Hammen, T. (2006). Arqueologia de visiones y alucinaciones del cosmos felino y chamanistico de Chiribiquete. Parques Nacionales Naturales de Colombia.",yes,,
Chiribiquete Abrigo de Gary,1180,20,GrN-19713,-72.766833,1.143895,Estimated,Charcoal,"Castaño-Uribe, C., & van der Hammen, T. (2006). Arqueologia de visiones y alucinaciones del cosmos felino y chamanistico de Chiribiquete. Parques Nacionales Naturales de Colombia.",yes,,
Guayabito,4180,70,Beta-95063,-75.704269,3.600452,Reported,Charcoal,"Munera Bermudez, L. C. (1997). Arqueologia de rescate via alterna de la troncal de occidente rio Campoalegre estadio Santa Rosa de Cabal. INTEGRAL.",yes,,
Guayabito,7990,100,Beta-95064,-75.704269,3.600452,Reported,Charcoal,"Munera Bermudez, L. C. (1997). Arqueologia de rescate via alterna de la troncal de occidente rio Campoalegre estadio Santa Rosa de Cabal. INTEGRAL.",yes,,
Guriman,3480,70,Beta-105462,,,,Charcoal,"Botero, S. H., Monsalve, O.D., & Munera, L. C. (1998). Nuevos contextos arqueologicos fechados en el Macizo Central antioqueno. Boletin de Antropologia, 12(29), 148-167. Departamento de Antropologia. Universidad de Antioquia.",yes,,
Hacienda el Carmen,680,40,Beta-245834,-74.12,4.48,Reported,,"Groot de Mahecha, A. M., & Becerra Becerra, J. V. (2008). Reconocimiento visualizacion y prospeccion arqueologica de la hacienda El Carmen localidad 5 Usme Bogota D. C.: plan de manejo arqueologico. Universidad Nacional de Colombia.",yes,,
Hacienda El Dorado,485,65,Beta-4906,-76.45,3.84,Reported,Charcoal,"Bray, W., Herrera, L., & Cardale de Schrimpff, M. (1981). Report on the 1981 Field Season in Calima. Pro Calima, 3, 2-30.",yes,,
Hacienda El Dorado,1200,50,Beta-9755,-76.45,3.84,Reported,Charcoal,"Bray, W., Herrera, L., & Cardale de Schrimpff, M. (1981). Excavations on Settlement Sites. Pro Calima 2, 13-20.",yes,,
Hacienda El Dorado,1850,320,Beta-9758,-76.45,3.84,Reported,Charcoal,"Bray, W., Herrera, L., & Cardale de Schrimpff, M. (1981). Excavations on Settlement Sites.  Pro Calima 2, 13-20.",yes,,
Hacienda El Dorado,1160,60,Beta-9760,-76.45,3.84,Reported,Charcoal,"Bray, W., Herrera, L., & Cardale de Schrimpff, M. (1981). Excavations on Settlement Sites.  Pro Calima 2, 13-20.",yes,,
Hacienda El Topacio,1710,70,Beta-14810,-76.47,3.95,Reported,Charcoal,"Cardale de Schrimpff, M. (1986). La cultura Ilama: resultados recientes. Boletin de Arqueologia 1(3), 35-48. Fundacion de Investigaciones Arqueologicas Nacionales.",yes,,
Hacienda El Topacio,2250,70,Beta-19516,-76.47,3.95,Reported,Charcoal,"Bray, W., Herrera, L., & Cardale de Schrimpff, M. (1988). Report on the 1984 Field Season in Calima. Pro Calima 5, 2-42.",yes,,
Hacienda El Topacio,2110,100,Beta-9858,-76.47,3.95,Reported,Charcoal,"Cardale de Schrimpff, M. (1986). La cultura Ilama: resultados recientes. Boletin de Arqueologia 1(3), 35-48. Fundacion de Investigaciones Arqueologicas Nacionales.",yes,,
Hacienda Negritos,1410,50,Beta-108841,-75.132865,8.663231,Estimated,,"Plazas, C. (1998). Cronologia de la metalurgia colombiana. Boletin Museo del Oro, (44-45), 3-77. https://publicaciones.banrepcultural.org/index.php/bmo/article/view/6894",yes,,
Hcda. Genova,2860,90,Beta-195903,,,,Charcoal,"Rojas, S., & Tabares, D. (2000). Proyecto de desarrollo vialdoble calzada Armenia-Pereira-Manizales Autopista del Cafe: consideraciones preliminares para la interpretacion de una historia que empieza a recrearse.",yes,,
Las Mercedes,540,40,Beta-237129,,,,Charcoal,,no,,
Hcda. San German,2630,60,Beta-125441,,,,,"Bernal Ruiz, F. (1999). Rescate y monitoreo arqueologico Linea a 230 Kv. La Virginia-La Hermosa. Interconexion Electrica, ISA.",yes,,
Chiribiquete Abrigo de Bernardo.,1065,50,GrN-19716,-72.766833,1.143895,Estimated,Charcoal,"Castaño-Uribe, C., & van der Hammen, T. (2006). Arqueologia de visiones y alucinaciones del cosmos felino y chamanistico de Chiribiquete. Parques Nacionales Naturales de Colombia.",yes,,
Hda La Iberia,1780,65,Beta-1502,-76.107971,4.06367,Estimated,Charcoal,"Bray, W., Herrera, L., & Cardale de Schrimpff, M. (1981). Pro Calima. Archäologisch ethnologisches Projekt im estlichen Kolumbien/Südamerika. N.2:1-22. Periodische Publikation der Vereinigung Pro Calima.",yes,,
Hda La Iberia,3540,70,Beta-2830,,,,Charcoal,"Bray, W., Herrera, L., & Cardale de Schrimpff, M. (1981). Excavations on Settlement Sites. Pro Calima 2: 13-20.",yes,,
Hispala,1160,30,Beta-322720,-76.47855991,2.369211055,Estimated,Charcoal,"Patiño, D., & Monsalve, M. L. (2015). Arqueologia y vulcanismo en la region del Purace, Cauca. Servicio Geologico Colombiano y Editorial Juniversidad del Cauca.",yes,,
Iguaes 1 y 2,270,40,Beta-250831,-75.56,3.7,Reported,,"Monsalve Salazar, O. D. (2009). Reconocimiento prospeccion y rescate arqueologico en el proyecto hidroelectrico rio Amoya.",yes,,
Imbili,950,150,M-1481,,,,Charcoal,"Reichel-Dolmatoff, G. (1965). Colombia. Thames and Hudson.",yes,,
Inguapi,130,80,Ny-6368,-78.76,1.7,Reported,Charcoal,"Bouchard, J. F. (1982-1983). Excavaciones arqueologicas en la region de Tumaco, Narino, Colombia. Revista Colombiana de Antropologia, 24, 128-334. https://doi.org/10.22380/2539472X.1705",yes,,
Inguapi,105,80,Ny-637,-78.76,1.7,Reported,Charcoal,"Bouchard, J. F. (1982-1983). Excavaciones arqueologicas en la region de Tumaco, Narino, Colombia. Revista Colombiana de Antropologia, 24, 128-334. https://doi.org/10.22380/2539472X.1705",yes,,
Inguapi,2050,80,Ny-638,-78.76,1.7,Reported,Charcoal,"Bouchard, J. F. (1982-1983). Excavaciones arqueologicas en la region de Tumaco, Narino, Colombia. Revista Colombiana de Antropologia, 24, 128-334. https://doi.org/10.22380/2539472X.1705",yes,,
Inguapi,2220,85,Ny-639,-78.76,1.7,Reported,Charcoal,"Bouchard, J. F. (1984). Recherches archeologiques dans la region de Tumaco Colombie. Recherche sur les civilisations Paris.",yes,,
Inguapi,2000,80,Ny-640,-78.76,1.7,Reported,Charcoal,"Bouchard, J. F. (1984). Recherches archeologiques dans la region de Tumaco Colombie. Recherche sur les civilisations Paris.",yes,,
Inguapi,2190,100,Ny-641,-78.76,1.7,Reported,Charcoal,"Bouchard, J. F. (1984). Recherches archeologiques dans la region de Tumaco Colombie. Recherche sur les civilisations Paris.",yes,,
Inguapi,2275,85,Ny-642,-78.76,1.7,Reported,Charcoal,"Bouchard, J. F. (1984). Recherches archeologiques dans la region de Tumaco Colombie. Recherche sur les civilisations Paris.",yes,Gold wires hammered,Metallurgy
Inguapi,1860,95,Ny-643,-78.76,1.7,Reported,Charcoal,"Bouchard, J. F. (1984). Recherches archeologiques dans la region de Tumaco Colombie. Recherche sur les civilisations Paris.",yes,,
Inguito,3350,90,Beta-47834,,,,,"Illera, C. H. (1987). Excavaciones arqueologicas en Inguito, municipio de Morales y Buenos Aires Cauca. Proyecto de Investigacion Universidad del Cauca. Integral-Rodriguez.",yes,,
Invias 3,9155,57,AA-98950,-74.850318,4.980265,Reported,Charcoal,"Dickau, R., Aceituno, F. J., Loaiza, N., Lopez C., Cano, M., Herrera, L., Restrepo, C., & Ranere, A. J. (2015). Radiocarbon chronology of terminal Pleistocene to middle Holocene in the middle Cauca Valley, Colombia. Quaternary International, 363, 43-54. https://doi.org/10.1016/j.quaint.2014.12.025",yes,,
Invias 3,9451,58,AA-98951,-74.850318,4.980265,Reported,Charcoal,"Dickau, R., Aceituno, F. J., Loaiza, N., Lopez C., Cano, M., Herrera, L., Restrepo, C., & Ranere, A. J. (2015). Radiocarbon chronology of terminal Pleistocene to middle Holocene in the middle Cauca Valley, Colombia. Quaternary International, 363, 43-54. https://doi.org/10.1016/j.quaint.2014.12.025",yes,,
Irique,320,70,A-5,,,,,"Mora Camargo, S., & Cavelier, I. (1985). Mirray. Arqueologia del departamento del Meta. Instituto Colombiano de Antropologia e Historia.G1873",yes,,
Isla Fuerte,1720,100,Beta-2600,-76.18,9.39,Reported,,"Paz Rey, F. S., & Uribe Alarcon, M. V. (1979). Prospeccion y sondeos arqueologicos en la Isla Fuerte Bolivar.",yes,,
Japón 1,1420,180,Beta-17015,-74.96,8.68,Reported,,"Plazas, C., Falchetti, A., Saenz, J., & Archila, S. (1993). La sociedad hidraulica Zenu. Estudio arqueologico de 2000 anos de historia en las llanuras del Caribe colombiano.  Banco de la Republica.",yes,,
Japón 3,1800,70,Beta-2598,-74.97,8.68,Reported,Charcoal,"Plazas, C., Falchetti, A., Saenz, J., & Archila, S. (1993). La sociedad hidraulica Zenu. Estudio arqueologico de 2000 anos de historia en las llanuras del Caribe colombiano.  Banco de la Republica.",yes,,
Jiguales,400,70,Beta-10333,-76.44,3.93,Reported,Charcoal,"Salgado Lopez, H., Rodriguez, C. A. & Bashilov, V. (1984). Investigaciones arqueologicas en Jiguales departamento del Valle del Cauca. INCIVA Darien.",yes,,
Jiguales,930,70,Beta-10334,-76.44,3.93,Reported,Charcoal,"Salgado Lopez, H., Rodriguez, C. A. & Bashilov, V. (1984). Investigaciones arqueologicas en Jiguales departamento del Valle del Cauca. INCIVA Darien.",yes,,
Jiguales,1300,80,Beta-16945,-76.44,3.93,Reported,Charcoal,"Salgado Lopez, H. (1993). Investigaciones arqueologicas en el poblado prehispanico de Jiguales-Calima (Segunda temporada). En Vivienda Prehispanica Calima (pp. 55-112). Instituto Vallecaucano de Investigaciones Cientificas - INCIVA.",yes,,
Jiguales,1090,60,Beta-16946,-76.44,3.93,Reported,Charcoal,"Salgado Lopez, H. (1993). Investigaciones arqueologicas en el poblado prehispanico de Jiguales-Calima (Segunda temporada). En Vivienda Prehispanica Calima (pp. 55-112). Instituto Vallecaucano de Investigaciones Cientificas - INCIVA.",yes,,
Jiguales,1580,60,Beta-16947,-76.44,3.93,Reported,Charcoal,"Salgado Lopez, H. (1993). Investigaciones arqueologicas en el poblado prehispanico de Jiguales-Calima (Segunda temporada). En Vivienda Prehispanica Calima (pp. 55-112). Instituto Vallecaucano de Investigaciones Cientificas - INCIVA.",yes,,
Jiguales,620,40,(Leningrado),-76.44,3.93,Reported,Charcoal,"Salgado Lopez, H., Rodriguez, C. A. & Bashilov, V. (1984). Investigaciones arqueologicas en Jiguales departamento del Valle del Cauca. INCIVA Darien.",yes,,
Jiguales,620,40,Beta-2456,-76.44,3.93,Reported,,"Uribe, M. (1990). Cronologia absoluta de la arqueologia colombiana. Revista de Antropologia y Arqueologia, 1 (1), 205-233. Universidad de los Andes.",yes,,
Jiguales,620,40,Le-2466,-76.44,3.93,Reported,,"Rodriguez, C. A., & Bashilov, V.A. (1988). Excavations in prehispanic settlement sites at Jiguales, Calima (First Season). ProCalima. Archäologisch-ethnologisches Projekt im westlichen Kolumbien/Südamerika, 5,61-66. Periodische Publikation der Vereinigung Pro Calima.",yes,,
Jolon Marusa,1350,160,Beta-2595,-74.96,8.68,Reported,Charcoal,"Plazas, C., Falchetti, A., Saenz, J., & Archila, S. (1993). La sociedad hidraulica Zenu. Estudio arqueologico de 2000 anos de historia en las llanuras del Caribe colombiano.  Banco de la Republica.",yes,,
Jongovito,1450,100,Beta-39576,-77.29,1.19,Reported,Charcoal,"Groot de Mahecha, A. M., & Hooykaas, E. M. (1991). Intento de delimitacion del territorio de los grupos etnicos Pastos y Quillacingas en el altiplano narinense. Fundacion de Investigaciones Arqueologicas Nacionales. Banco de la Republica. https://babel.banrepcultural.org/digital/collection/p17054coll5/id/14/rec/18",yes,,
L5,220,30,Beta-555940,-74.62,4.14,Reported,,"Suaza, M. A., Panche Rodriguez, J., &, Rodriguez, M. L. (2020). Ejecucion del plan de manejo arqueologico (monitoreo y rescate) para la plataforma zodme linea electrica li­nea de flujo y via de acceso el Niño (Melgar- Tolima).",yes,,
