Site_name or object code,C14Age,C14SD,Lab_code,Lon,Lat,Location quality,Material_Dated,APA_reference,Ref_complete,Archaeological_context,Technology
Llanadas,1380,60,Beta-81528,,,,,"Ordonez Hurtado, H. (1995). Investigacion arqueologica en la Llanada de Naranjos. Instituto Colombiano de Antropología & Fundacion de Investigaciones Arqueologicas Nacionales.",yes,,
Llano Los Gallos,381,78,BM-1384,,,,,"Uribe, M. (1990). Cronologia absoluta de la arqueologia colombiana. Revista de Antropologia y Arqueologia, 1 (1), 205-233. Universidad de los Andes.",yes,,
Llanos de la Virgen,2960,30,Beta-493651,,,,Sediment,"Rodriguez Cuenca, J. V., Ariza O., A., Caldon A. F., Hernandez V., M., Salamanca G. L. M., & Vasquez Avila, J. C. (2018). El Huila milenario. Paisajes, pueblos y culturas en el sur del Alto Magdalena. EcoGlobal Surveying LTDA, ENEL & Universidad Nacional de Colombia.",yes,,
Llanos de la Virgen,1640,30,Beta-493648,,,,Bone,"Rodriguez Cuenca, J. V., Ariza O., A., Caldon A. F., Hernandez V., M., Salamanca G. L. M., & Vasquez Avila, J. C. (2018). El Huila milenario. Paisajes, pueblos y culturas en el sur del Alto Magdalena. EcoGlobal Surveying LTDA, ENEL & Universidad Nacional de Colombia.",yes,,
Llanos de la Virgen,1100,30,Beta-493650,,,,Sediment,"Rodriguez Cuenca, J. V., Ariza O., A., Caldon A. F., Hernandez V., M., Salamanca G. L. M., & Vasquez Avila, J. C. (2018). El Huila milenario. Paisajes, pueblos y culturas en el sur del Alto Magdalena. EcoGlobal Surveying LTDA, ENEL & Universidad Nacional de Colombia.",yes,,
Loc 15,10350,90,40852,-74.45,6.62,Reported,,"Lopez Castano, C. (1991). Reconocimiento prospeccion y rescate proyecto arqueologico oleoducto Vasconia-Covenas tramo sur: Vasconia-rio Nechi Km. 00 a 185. ICAN.",yes,,
Loc 15,2460,140,40853,-74.45,6.62,Reported,,"Lopez Castano, C. (1991). Reconocimiento prospeccion y rescate proyecto arqueologico oleoducto Vasconia-Covenas tramo sur: Vasconia-rio Nechi Km. 00 a 185. ICAN.",yes,,
Loc 19,10230,80,40854,-74.39,6.73,Reported,,"Lopez Castano, C. (1991). Reconocimiento prospeccion y rescate proyecto arqueologico oleoducto Vasconia-Covenas tramo sur: Vasconia-rio Nechi Km. 00 a 185. ICAN.",yes,,
Loc 19,10400,90,40855,-74.39,6.73,Reported,,"Lopez Castano, C. (1991). Reconocimiento prospeccion y rescate proyecto arqueologico oleoducto Vasconia-Covenas tramo sur: Vasconia-rio Nechi Km. 00 a 185. ICAN.",yes,,
Localidad 06,930,60,112170,-75.15,6.93,Reported,,Empresas Publicas de Medellin. (2002). Proyecto hidroelectrico Porce III: estudio de impacto ambiental. Vol 12.  EPM.,yes,,
Localidad 08,3660,40,109564,-75.18,6.89,Reported,,Empresas Publicas de Medellin. (2002). Proyecto hidroelectrico Porce III: estudio de impacto ambiental. Vol 12.  EPM.,yes,,
Localidad 08,2910,40,109563,-75.18,6.89,Reported,,Empresas Publicas de Medellin. (2002). Proyecto hidroelectrico Porce III: estudio de impacto ambiental. Vol 12.  EPM.,yes,,
