year_BP,enso_pca
515,1.576532
516,1.914142
517,2.67142
518,2.936797
519,2.605536
520,1.510367
520,-2.341086
521,-1.921492
522,0.524631
523,2.670553
524,0.26174
524.5,-0.167266
525,-0.157729
526,-0.322855
527,-0.844605
527,1.32111
528,0.148043
529,-2.274193
530,-1.559458
530,-0.983621
531,-1.185584
531,-0.374486
532,-0.509677
533,0.525635
534,1.434785
535,2.056961
535,2.588961
536,2.846568
537,2.82148
537,2.679818
538,2.497563
539,2.121886
539,0.22025
540,-1.501373
541,1.391661
541,0.678443
542,-2.62446
543,-1.737711
544,0.283166
546,2.396275
548,2.529589
549,-0.364881
551,-3.495044
553,-4.282618
554,-4.294582
556,-4.001707
557,-2.701769
559,-0.851886
560,0.012323
562,1.781672
564,2.499984
565.5,1.055657
567,1.635639
568,-0.629648
570,-2.660789
571,-2.082372
573,-0.899636
574,-0.54287
575,-0.118573
576,1.358954
578,2.491804
579,2.904331
580,3.059316
582,2.558435
583,2.303428
584,1.755798
585,-0.398048
586.5,1.011475
588,-0.089215
589,1.626789
590,3.267517
591.5,3.470824
592,2.543449
593,-0.911185
594,-2.80011
596,-3.600033
597,-3.196445
598,1.199977
600,2.727079
601,2.504857
602,2.824411
603,3.097972
604,2.54858
605,-0.45307
606,-3.83689
607.5,-3.539353
609,-4.102767
610,-4.061681
611,-2.656549
612,-0.990448
612.5,1.185353
613,2.508308
614,-0.646068
615.5,-2.14516
616.5,-1.990052
618,-1.709583
619,-2.06459
620,-2.015274
621,-1.202451
622,-1.184282
623,0.481837
624,2.096219
625,2.605636
626.5,1.814351
628,0.38914
630,0.103727
631,-1.777393
632,-1.628225
633,0.598976
634.5,-0.893053
635,-3.00087
636.5,-3.902294
639,-3.924984
640,-3.093159
641,-2.766285
642,-1.69018
643,0.203366
645,1.806567
646,1.293103
647,1.790249
648,2.352845
649,2.221489
650,2.332279
651.5,1.331357
652.5,0.27722
653,1.43204
655,2.472004
655.5,3.013529
656,2.845631
657,3.237468
658,3.435985
659,3.31091
660,2.858373
661,2.604056
662,-0.363855
663,-2.177226
664,-2.666983
665,-2.606656
666,-1.123098
667,-0.328822
668,1.177913
669,2.753841
671,3.593506
672,1.719029
672.5,-0.683288
673,0.206798
674,1.425042
675,0.987069
677,0.521331
677.5,1.279108
678,1.803746
679,0.168122
680,-0.047028
681,1.299689
682,-0.496787
683,-0.159837
684,1.929134
685,3.300061
687,2.001066
688,-0.987571
689,-1.146246
689,0.16362
690,2.430694
691,3.789055
691.5,3.446712
693,1.457867
694,-1.194289
695,-2.017164
696,-1.676671
698,-0.854113
699,1.681741
700,3.229292
700.5,3.048455
702,2.652405
703,3.474177
704,2.754702
705,0.668425
706,1.308623
707,1.393107
708,-2.380889
709.5,-3.666446
711,-3.115187
712,-1.500266
713,0.466111
714,2.361986
714.5,2.710149
715,2.202671
716,-0.234458
717,-0.096935
718,0.770665
719,3.259618
721,2.692775
722,2.287749
722.5,3.158409
723,2.092048
725,-0.051023
726,-0.742403
727,0.195505
728,0.150421
729,2.668882
730,3.536859
730.5,3.073226
731.5,0.661351
733,1.154935
734,2.590792
735,-1.369313
736,0.070878
737,0.049888
737,0.09858
738,-0.147085
740,1.201506
741,0.730595
742,-0.278741
743,1.230463
744,2.909844
744.5,2.817883
746,2.877738
747,2.96244
748,3.23577
749,3.531374
750,3.575115
751,3.116962
751,2.982626
752.5,1.800197
753,1.317195
754,0.438043
755.5,-0.187161
756,0.46726
758,1.714597
759,2.583345
760,2.525418
761,2.766386
762,3.216844
762.5,3.256688
